"State","State Name","CS Cases 2010","CS Cases 2011","CS Cases 2012","CS Cases 2013","CS Cases 2014","CS Cases 2015","CS Cases 2016","CS Cases 2017","CS Cases 2018","CS Cases 2019"
"01","Alabama",9,10,4,2,3,3,4,6,7,15
"02","Alaska",0,0,1,1,0,0,0,0,1,0
"04","Arizona",16,15,14,14,13,14,17,32,61,109
"05","Arkansas",11,15,11,12,7,5,6,8,25,21
"06","California",39,40,35,58,102,140,207,281,329,445
"08","Colorado",0,0,0,0,0,0,4,4,8,10
"09","Connecticut",2,0,0,0,0,1,0,0,2,3
"10","Delaware",2,0,1,1,0,1,0,0,0,2
"11","District of Columbia",1,1,0,2,0,1,1,0,1,1
"12","Florida",20,33,37,35,48,40,61,99,109,145
"13","Georgia",18,10,16,20,17,21,21,23,31,55
"15","Hawaii",0,0,0,0,0,2,1,3,4,3
"16","Idaho",1,0,1,0,0,0,0,0,1,1
"17","Illinois",27,18,28,23,27,31,18,22,30,32
"18","Indiana",0,0,0,0,8,5,8,8,1,13
"19","Iowa",0,0,0,0,1,0,1,2,3,1
"20","Kansas",0,0,0,0,0,0,2,1,8,9
"21","Kentucky",0,2,2,4,3,1,5,6,9,9
"22","Louisiana",33,18,33,40,46,54,47,57,43,68
"23","Maine",0,0,0,0,0,0,0,0,0,0
"24","Maryland",22,24,12,14,16,18,16,20,29,31
"25","Massachusetts",1,0,1,4,3,4,3,0,0,9
"26","Michigan",5,8,7,9,15,11,13,10,14,17
"27","Minnesota",0,0,1,0,0,2,7,2,10,21
"28","Mississippi",9,6,0,0,1,0,2,1,3,3
"29","Missouri",2,1,1,3,1,4,8,10,18,18
"30","Montana",0,0,0,0,0,0,0,1,0,1
"31","Nebraska",0,0,1,0,1,0,1,1,0,0
"32","Nevada",5,3,1,2,5,8,12,24,31,41
"33","New Hampshire",0,0,1,0,0,0,0,0,1,2
"34","New Jersey",3,5,1,0,0,0,12,14,13,15
"35","New Mexico",0,0,1,2,1,2,3,1,10,28
"36","New York",17,13,8,11,22,12,13,16,28,27
"37","North Carolina",10,6,2,4,6,9,18,25,19,27
"38","North Dakota",0,0,0,0,0,0,0,0,0,0
"39","Ohio",10,13,19,18,15,17,12,18,21,19
"40","Oklahoma",0,2,0,0,6,7,3,7,11,43
"41","Oregon",0,0,1,0,2,6,6,8,20,18
"42","Pennsylvania",3,5,6,3,4,7,5,7,9,13
"44","Rhode Island",0,0,0,0,0,0,0,0,0,0
"45","South Carolina",1,0,7,1,5,3,9,8,9,17
"46","South Dakota",0,0,0,0,3,0,2,3,1,2
"47","Tennessee",11,8,2,2,2,5,8,10,13,13
"48","Texas",105,99,78,74,75,52,71,179,371,528
"49","Utah",1,0,0,0,0,0,0,0,1,4
"50","Vermont",0,0,0,0,0,0,0,0,0,0
"51","Virginia",1,0,1,3,2,3,8,12,10,11
"53","Washington",1,2,0,0,2,5,3,6,6,17
"54","West Virginia",0,0,0,0,0,0,2,3,1,6
"55","Wisconsin",1,1,0,0,0,0,1,3,1,2
"56","Wyoming",0,0,0,0,0,0,0,0,0,0
