"Year","State","State USPS","State Name","Female (15-44) Syphilis Cases","Female (15-44) Syphilis Rate per 100,000"
2010,1,"AL","Alabama",220,23
2010,2,"AK","Alaska",2,1
2010,4,"AZ","Arizona",177,14
2010,5,"AR","Arkansas",208,37
2010,6,"CA","California",617,8
2010,8,"CO","Colorado",16,2
2010,9,"CT","Connecticut",27,4
2010,10,"DE","Delaware",4,2
2010,11,"DC","District of Columbia",41,25
2010,12,"FL","Florida",665,19
2010,13,"GA","Georgia",303,15
2010,15,"HI","Hawaii",17,6
2010,16,"ID","Idaho",3,1
2010,17,"IL","Illinois",340,13
2010,18,"IN","Indiana",69,5
2010,19,"IA","Iowa",13,2
2010,20,"KS","Kansas",18,3
2010,21,"KY","Kentucky",42,5
2010,22,"LA","Louisiana",997,107
2010,23,"ME","Maine",0,0
2010,24,"MD","Maryland",141,12
2010,25,"MA","Massachusetts",60,4
2010,26,"MI","Michigan",112,6
2010,27,"MN","Minnesota",46,4
2010,28,"MS","Mississippi",235,39
2010,29,"MO","Missouri",47,4
2010,30,"MT","Montana",1,1
2010,31,"NE","Nebraska",4,1
2010,32,"NV","Nevada",48,9
2010,33,"NH","New Hampshire",4,2
2010,34,"NJ","New Jersey",157,9
2010,35,"NM","New Mexico",17,4
2010,36,"NY","New York",567,14
2010,37,"NC","North Carolina",204,10
2010,38,"ND","North Dakota",1,1
2010,39,"OH","Ohio",303,14
2010,40,"OK","Oklahoma",66,9
2010,41,"OR","Oregon",14,2
2010,42,"PA","Pennsylvania",141,6
2010,44,"RI","Rhode Island",5,2
2010,45,"SC","South Carolina",63,7
2010,46,"SD","South Dakota",2,1
2010,47,"TN","Tennessee",285,22
2010,48,"TX","Texas",1822,34
2010,49,"UT","Utah",13,2
2010,50,"VT","Vermont",2,2
2010,51,"VA","Virginia",102,6
2010,53,"WA","Washington",34,3
2010,54,"WV","West Virginia",3,1
2010,55,"WI","Wisconsin",39,4
2010,56,"WY","Wyoming",0,0
2011,1,"AL","Alabama",191,20
2011,2,"AK","Alaska",2,1
2011,4,"AZ","Arizona",140,11
2011,5,"AR","Arkansas",176,31
2011,6,"CA","California",551,7
2011,8,"CO","Colorado",18,2
2011,9,"CT","Connecticut",26,4
2011,10,"DE","Delaware",14,8
2011,11,"DC","District of Columbia",41,25
2011,12,"FL","Florida",657,18
2011,13,"GA","Georgia",200,10
2011,15,"HI","Hawaii",6,2
2011,16,"ID","Idaho",4,1
2011,17,"IL","Illinois",385,15
2011,18,"IN","Indiana",65,5
2011,19,"IA","Iowa",19,3
2011,20,"KS","Kansas",8,1
2011,21,"KY","Kentucky",51,6
2011,22,"LA","Louisiana",768,82
2011,23,"ME","Maine",2,1
2011,24,"MD","Maryland",191,16
2011,25,"MA","Massachusetts",103,8
2011,26,"MI","Michigan",110,6
2011,27,"MN","Minnesota",42,4
2011,28,"MS","Mississippi",191,32
2011,29,"MO","Missouri",45,4
