"State","County","FIPS","State USPS","State Name","County Name","Female (15-44) Syphilis Cases 2010","Female (15-44) Syphilis Cases 2011","Female (15-44) Syphilis Cases 2012","Female (15-44) Syphilis Cases 2013","Female (15-44) Syphilis Cases 2014","Female (15-44) Syphilis Cases 2015","Female (15-44) Syphilis Cases 2016","Female (15-44) Syphilis Cases 2017","Female (15-44) Syphilis Cases 2018","Female (15-44) Syphilis Cases 2019"
"01","001","01001","AL","Alabama","Autauga","No cases",">=1 case","No cases",">=1 case","No cases",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case"
"01","003","01003","AL","Alabama","Baldwin","No cases",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case"
"01","005","01005","AL","Alabama","Barbour","No cases",">=1 case","No cases","No cases","No cases","No cases","No cases","No cases",">=1 case",">=1 case"
"01","007","01007","AL","Alabama","Bibb","No cases","No cases","No cases","No cases","No cases","No cases","No cases","No cases",">=1 case","No cases"
"01","009","01009","AL","Alabama","Blount","No cases",">=1 case","No cases","No cases",">=1 case","No cases","No cases","No cases","No cases","No cases"
"01","011","01011","AL","Alabama","Bullock",">=1 case","No cases","No cases","No cases","No cases","No cases",">=1 case",">=1 case",">=1 case","No cases"
"01","013","01013","AL","Alabama","Butler",">=1 case","No cases",">=1 case","No cases","No cases",">=1 case",">=1 case","No cases",">=1 case","No cases"
"01","015","01015","AL","Alabama","Calhoun","No cases","No cases",">=1 case",">=1 case",">=1 case",">=1 case","No cases",">=1 case",">=1 case",">=1 case"
"01","017","01017","AL","Alabama","Chambers","No cases","No cases",">=1 case","No cases",">=1 case","No cases",">=1 case",">=1 case",">=1 case",">=1 case"
"01","019","01019","AL","Alabama","Cherokee","No cases",">=1 case","No cases","No cases","No cases",">=1 case","No cases","No cases","No cases","No cases"
"01","021","01021","AL","Alabama","Chilton","No cases","No cases","No cases",">=1 case","No cases","No cases",">=1 case",">=1 case","No cases",">=1 case"
"01","023","01023","AL","Alabama","Choctaw","No cases","No cases","No cases","No cases","No cases","No cases",">=1 case",">=1 case","No cases",">=1 case"
"01","025","01025","AL","Alabama","Clarke",">=1 case","No cases","No cases","No cases","No cases","No cases",">=1 case",">=1 case","No cases","No cases"
"01","027","01027","AL","Alabama","Clay","No cases","No cases","No cases","No cases","No cases","No cases","No cases","No cases","No cases","No cases"
"01","029","01029","AL","Alabama","Cleburne","No cases","No cases","No cases","No cases","No cases","No cases","No cases",">=1 case","No cases",">=1 case"
"01","031","01031","AL","Alabama","Coffee",">=1 case",">=1 case","No cases","No cases","No cases","No cases",">=1 case",">=1 case",">=1 case",">=1 case"
"01","033","01033","AL","Alabama","Colbert",">=1 case",">=1 case","No cases","No cases","No cases",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case"
"01","035","01035","AL","Alabama","Conecuh","No cases","No cases",">=1 case","No cases",">=1 case","No cases","No cases",">=1 case","No cases","No cases"
"01","037","01037","AL","Alabama","Coosa","No cases","No cases","No cases","No cases","No cases",">=1 case","No cases","No cases","No cases","No cases"
"01","039","01039","AL","Alabama","Covington","No cases",">=1 case",">=1 case",">=1 case","No cases","No cases","No cases",">=1 case",">=1 case",">=1 case"
"01","041","01041","AL","Alabama","Crenshaw",">=1 case","No cases",">=1 case","No cases","No cases","No cases","No cases",">=1 case","No cases","No cases"
"01","043","01043","AL","Alabama","Cullman","No cases",">=1 case",">=1 case","No cases","No cases","No cases","No cases",">=1 case","No cases",">=1 case"
"01","045","01045","AL","Alabama","Dale",">=1 case",">=1 case","No cases","No cases","No cases","No cases","No cases",">=1 case",">=1 case",">=1 case"
"01","047","01047","AL","Alabama","Dallas",">=1 case",">=1 case",">=1 case",">=1 case","No cases",">=1 case","No cases",">=1 case",">=1 case",">=1 case"
"01","049","01049","AL","Alabama","DeKalb","No cases",">=1 case","No cases","No cases","No cases",">=1 case",">=1 case","No cases",">=1 case","No cases"
"01","051","01051","AL","Alabama","Elmore",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case"
"01","053","01053","AL","Alabama","Escambia","No cases",">=1 case",">=1 case",">=1 case",">=1 case","No cases",">=1 case",">=1 case",">=1 case","No cases"
"01","055","01055","AL","Alabama","Etowah",">=1 case",">=1 case","No cases","No cases","No cases",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case"
"01","057","01057","AL","Alabama","Fayette",">=1 case",">=1 case","No cases",">=1 case","No cases","No cases","No cases","No cases","No cases",">=1 case"
"01","059","01059","AL","Alabama","Franklin","No cases","No cases",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case","No cases","No cases",">=1 case"
"01","061","01061","AL","Alabama","Geneva",">=1 case","No cases",">=1 case","No cases","No cases","No cases","No cases",">=1 case","No cases",">=1 case"
"01","063","01063","AL","Alabama","Greene",">=1 case",">=1 case","No cases","No cases","No cases","No cases",">=1 case","No cases","No cases","No cases"
"01","065","01065","AL","Alabama","Hale",">=1 case",">=1 case","No cases",">=1 case","No cases","No cases",">=1 case","No cases",">=1 case","No cases"
"01","067","01067","AL","Alabama","Henry","No cases","No cases",">=1 case",">=1 case","No cases","No cases","No cases",">=1 case",">=1 case",">=1 case"
"01","069","01069","AL","Alabama","Houston",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case"
"01","071","01071","AL","Alabama","Jackson","No cases","No cases",">=1 case",">=1 case",">=1 case","No cases",">=1 case",">=1 case","No cases",">=1 case"
"01","073","01073","AL","Alabama","Jefferson",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case"
"01","075","01075","AL","Alabama","Lamar","No cases","No cases","No cases","No cases","No cases","No cases","No cases","No cases","No cases","No cases"
"01","077","01077","AL","Alabama","Lauderdale",">=1 case",">=1 case",">=1 case","No cases",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case"
"01","079","01079","AL","Alabama","Lawrence",">=1 case","No cases",">=1 case","No cases","No cases","No cases",">=1 case",">=1 case",">=1 case",">=1 case"
"01","081","01081","AL","Alabama","Lee",">=1 case","No cases","No cases",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case"
"01","083","01083","AL","Alabama","Limestone",">=1 case",">=1 case",">=1 case","No cases",">=1 case",">=1 case",">=1 case","No cases","No cases",">=1 case"
"01","085","01085","AL","Alabama","Lowndes","No cases","No cases","No cases",">=1 case","No cases","No cases","No cases","No cases","No cases",">=1 case"
"01","087","01087","AL","Alabama","Macon",">=1 case","No cases","No cases",">=1 case","No cases",">=1 case","No cases",">=1 case",">=1 case","No cases"
"01","089","01089","AL","Alabama","Madison",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case"
"01","091","01091","AL","Alabama","Marengo",">=1 case","No cases","No cases","No cases",">=1 case","No cases",">=1 case",">=1 case","No cases",">=1 case"
"01","093","01093","AL","Alabama","Marion","No cases","No cases","No cases","No cases","No cases","No cases","No cases","No cases","No cases",">=1 case"
"01","095","01095","AL","Alabama","Marshall",">=1 case","No cases",">=1 case","No cases",">=1 case","No cases","No cases",">=1 case",">=1 case",">=1 case"
"01","097","01097","AL","Alabama","Mobile",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case"
"01","099","01099","AL","Alabama","Monroe","No cases","No cases","No cases","No cases","No cases","No cases","No cases","No cases","No cases","No cases"
"01","101","01101","AL","Alabama","Montgomery",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case"
"01","103","01103","AL","Alabama","Morgan",">=1 case",">=1 case",">=1 case",">=1 case","No cases",">=1 case",">=1 case",">=1 case",">=1 case",">=1 case"
