"Date Printed: Tuesday, November 14, 2023 1:25:46 PM",,,,,,,,,
"Title: ""Chlamydia | Gonorrhea | HIV diagnoses | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | Male | 13-24 | 25-34 | 35-44 | 45-54 | 55+""""",,,,,,,,,
Footnote(s): Data for 2022 and 2023 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,
The 'Sex' column is used for either sex at birth or gender identity.,,,,,,,,,
NA - Not applicable.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
Gonorrhea,2021,Alabama,01,55+,All races/ethnicities,Female,33,3.9,"843,891"
Gonorrhea,2021,Alabama,01,45-54,All races/ethnicities,Female,132,41.5,"318,246"
Gonorrhea,2021,Alabama,01,35-44,All races/ethnicities,Female,525,164.3,"319,622"
Gonorrhea,2021,Alabama,01,25-34,All races/ethnicities,Female,"2,004",602.7,"332,525"
Gonorrhea,2021,Alabama,01,13-24,All races/ethnicities,Female,"4,073",1042.2,"390,813"
Gonorrhea,2021,Alabama,01,55+,All races/ethnicities,Male,184,25.7,"717,299"
Gonorrhea,2021,Alabama,01,45-54,All races/ethnicities,Male,345,113.5,"303,948"
Gonorrhea,2021,Alabama,01,35-44,All races/ethnicities,Male,977,323.8,"301,703"
Gonorrhea,2021,Alabama,01,25-34,All races/ethnicities,Male,"2,512",775.6,"323,898"
Gonorrhea,2021,Alabama,01,13-24,All races/ethnicities,Male,"3,241",815,"397,682"
Gonorrhea,2020 (COVID-19 Pandemic),Alabama,01,55+,All races/ethnicities,Female,41,4.9,"835,439"
Gonorrhea,2020 (COVID-19 Pandemic),Alabama,01,45-54,All races/ethnicities,Female,106,33.1,"320,539"
Gonorrhea,2020 (COVID-19 Pandemic),Alabama,01,35-44,All races/ethnicities,Female,498,157.3,"316,592"
Gonorrhea,2020 (COVID-19 Pandemic),Alabama,01,25-34,All races/ethnicities,Female,"1,900",572,"332,186"
Gonorrhea,2020 (COVID-19 Pandemic),Alabama,01,13-24,All races/ethnicities,Female,"4,196",1083.2,"387,374"
Gonorrhea,2020 (COVID-19 Pandemic),Alabama,01,55+,All races/ethnicities,Male,223,31.4,"710,447"
Gonorrhea,2020 (COVID-19 Pandemic),Alabama,01,45-54,All races/ethnicities,Male,356,115.8,"307,547"
Gonorrhea,2020 (COVID-19 Pandemic),Alabama,01,35-44,All races/ethnicities,Male,971,324.1,"299,624"
Gonorrhea,2020 (COVID-19 Pandemic),Alabama,01,25-34,All races/ethnicities,Male,"2,631",814.9,"322,868"
Gonorrhea,2020 (COVID-19 Pandemic),Alabama,01,13-24,All races/ethnicities,Male,"3,431",869,"394,818"
Gonorrhea,2019,Alabama,01,55+,All races/ethnicities,Female,35,4.3,"823,478"
Gonorrhea,2019,Alabama,01,45-54,All races/ethnicities,Female,110,34.6,"317,909"
Gonorrhea,2019,Alabama,01,35-44,All races/ethnicities,Female,454,148,"306,726"
Gonorrhea,2019,Alabama,01,25-34,All races/ethnicities,Female,"1,956",597.5,"327,364"
Gonorrhea,2019,Alabama,01,13-24,All races/ethnicities,Female,"4,309",1146.5,"375,826"
Gonorrhea,2019,Alabama,01,55+,All races/ethnicities,Male,203,29.7,"684,026"
Gonorrhea,2019,Alabama,01,45-54,All races/ethnicities,Male,377,126.2,"298,707"
Gonorrhea,2019,Alabama,01,35-44,All races/ethnicities,Male,"1,010",352.4,"286,580"
Gonorrhea,2019,Alabama,01,25-34,All races/ethnicities,Male,"2,598",812.2,"319,865"
Gonorrhea,2019,Alabama,01,13-24,All races/ethnicities,Male,"3,385",882.7,"383,493"
