"Date Printed: Tuesday, January 21, 2025 6:10:45 PM",,,,,,,,,
"Title: ""Chlamydia | Gonorrhea | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | 2023 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Palau | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | Male | 15-19 | 20-24 | 25-29 | 30-34 | 35-39 | 40-44 | 45-54 | 55-64 | 65+""""",,,,,,,,,
Footnote(s): ,,,,,,,,,
   NA - Not Applicable.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
Chlamydia,2023,Alabama,1,65+,All races/ethnicities,Female,18,3.5,"520,176"
Chlamydia,2023,Alabama,1,55-64,All races/ethnicities,Female,73,21.6,"338,419"
Chlamydia,2023,Alabama,1,45-54,All races/ethnicities,Female,181,56.9,"317,946"
Chlamydia,2023,Alabama,1,40-44,All races/ethnicities,Female,324,199.5,"162,391"
Chlamydia,2023,Alabama,1,35-39,All races/ethnicities,Female,725,446.4,"162,404"
Chlamydia,2023,Alabama,1,30-34,All races/ethnicities,Female,"1,629",938.5,"173,584"
Chlamydia,2023,Alabama,1,25-29,All races/ethnicities,Female,"3,017",1877.3,"160,710"
Chlamydia,2023,Alabama,1,20-24,All races/ethnicities,Female,"7,154",4208.2,"170,002"
Chlamydia,2023,Alabama,1,15-19,All races/ethnicities,Female,"5,726",3367.8,"170,024"
Chlamydia,2023,Alabama,1,65+,All races/ethnicities,Male,27,6.6,"412,136"
Chlamydia,2023,Alabama,1,55-64,All races/ethnicities,Male,113,35.8,"315,647"
Chlamydia,2023,Alabama,1,45-54,All races/ethnicities,Male,230,76.4,"301,017"
Chlamydia,2023,Alabama,1,40-44,All races/ethnicities,Male,276,180.1,"153,210"
Chlamydia,2023,Alabama,1,35-39,All races/ethnicities,Male,475,310.1,"153,192"
Chlamydia,2023,Alabama,1,30-34,All races/ethnicities,Male,988,590,"167,471"
Chlamydia,2023,Alabama,1,25-29,All races/ethnicities,Male,"1,550",974.7,"159,030"
Chlamydia,2023,Alabama,1,20-24,All races/ethnicities,Male,"2,831",1658.3,"170,721"
Chlamydia,2023,Alabama,1,15-19,All races/ethnicities,Male,"1,781",1018.6,"174,855"
Gonorrhea,2023,Alabama,1,65+,All races/ethnicities,Female,8,1.5,"520,176"
Gonorrhea,2023,Alabama,1,55-64,All races/ethnicities,Female,29,8.6,"338,419"
Gonorrhea,2023,Alabama,1,45-54,All races/ethnicities,Female,82,25.8,"317,946"
Gonorrhea,2023,Alabama,1,40-44,All races/ethnicities,Female,118,72.7,"162,391"
Gonorrhea,2023,Alabama,1,35-39,All races/ethnicities,Female,232,142.9,"162,404"
Gonorrhea,2023,Alabama,1,30-34,All races/ethnicities,Female,460,265,"173,584"
Gonorrhea,2023,Alabama,1,25-29,All races/ethnicities,Female,768,477.9,"160,710"
Gonorrhea,2023,Alabama,1,20-24,All races/ethnicities,Female,"1,620",952.9,"170,002"
Gonorrhea,2023,Alabama,1,15-19,All races/ethnicities,Female,"1,211",712.3,"170,024"
Gonorrhea,2023,Alabama,1,65+,All races/ethnicities,Male,35,8.5,"412,136"
Gonorrhea,2023,Alabama,1,55-64,All races/ethnicities,Male,141,44.7,"315,647"
Gonorrhea,2023,Alabama,1,45-54,All races/ethnicities,Male,265,88,"301,017"
Gonorrhea,2023,Alabama,1,40-44,All races/ethnicities,Male,264,172.3,"153,210"
Gonorrhea,2023,Alabama,1,35-39,All races/ethnicities,Male,449,293.1,"153,192"
Gonorrhea,2023,Alabama,1,30-34,All races/ethnicities,Male,762,455,"167,471"
Gonorrhea,2023,Alabama,1,25-29,All races/ethnicities,Male,"1,080",679.1,"159,030"
Gonorrhea,2023,Alabama,1,20-24,All races/ethnicities,Male,"1,495",875.7,"170,721"
Gonorrhea,2023,Alabama,1,15-19,All races/ethnicities,Male,813,465,"174,855"
Chlamydia,2023,Alaska,2,65+,All races/ethnicities,Female,2,3.8,"52,919"
Chlamydia,2023,Alaska,2,55-64,All races/ethnicities,Female,18,44.3,"40,587"
Chlamydia,2023,Alaska,2,45-54,All races/ethnicities,Female,98,252.9,"38,745"
Chlamydia,2023,Alaska,2,40-44,All races/ethnicities,Female,129,550.4,"23,438"
Chlamydia,2023,Alaska,2,35-39,All races/ethnicities,Female,255,962.4,"26,495"
Chlamydia,2023,Alaska,2,30-34,All races/ethnicities,Female,487,1741.6,"27,962"
Chlamydia,2023,Alaska,2,25-29,All races/ethnicities,Female,627,2605.1,"24,068"
Chlamydia,2023,Alaska,2,20-24,All races/ethnicities,Female,"1,041",4910.6,"21,199"
Chlamydia,2023,Alaska,2,15-19,All races/ethnicities,Female,703,3283.2,"21,412"
Chlamydia,2023,Alaska,2,65+,All races/ethnicities,Male,11,21,"52,392"
Chlamydia,2023,Alaska,2,55-64,All races/ethnicities,Male,54,121.1,"44,577"
Chlamydia,2023,Alaska,2,45-54,All races/ethnicities,Male,90,204,"44,127"
Chlamydia,2023,Alaska,2,40-44,All races/ethnicities,Male,92,347.1,"26,502"
Chlamydia,2023,Alaska,2,35-39,All races/ethnicities,Male,176,596,"29,529"
Chlamydia,2023,Alaska,2,30-34,All races/ethnicities,Male,256,823.2,"31,100"
Chlamydia,2023,Alaska,2,25-29,All races/ethnicities,Male,314,1074.3,"29,227"
Chlamydia,2023,Alaska,2,20-24,All races/ethnicities,Male,484,1690.1,"28,637"
Chlamydia,2023,Alaska,2,15-19,All races/ethnicities,Male,238,972.9,"24,462"
Gonorrhea,2023,Alaska,2,65+,All races/ethnicities,Female,4,7.6,"52,919"
Gonorrhea,2023,Alaska,2,55-64,All races/ethnicities,Female,22,54.2,"40,587"
Gonorrhea,2023,Alaska,2,45-54,All races/ethnicities,Female,57,147.1,"38,745"
Gonorrhea,2023,Alaska,2,40-44,All races/ethnicities,Female,90,384,"23,438"
Gonorrhea,2023,Alaska,2,35-39,All races/ethnicities,Female,150,566.1,"26,495"
Gonorrhea,2023,Alaska,2,30-34,All races/ethnicities,Female,250,894.1,"27,962"
Gonorrhea,2023,Alaska,2,25-29,All races/ethnicities,Female,240,997.2,"24,068"
Gonorrhea,2023,Alaska,2,20-24,All races/ethnicities,Female,248,1169.9,"21,199"
Gonorrhea,2023,Alaska,2,15-19,All races/ethnicities,Female,152,709.9,"21,412"
Gonorrhea,2023,Alaska,2,65+,All races/ethnicities,Male,11,21,"52,392"
Gonorrhea,2023,Alaska,2,55-64,All races/ethnicities,Male,54,121.1,"44,577"
Gonorrhea,2023,Alaska,2,45-54,All races/ethnicities,Male,104,235.7,"44,127"
Gonorrhea,2023,Alaska,2,40-44,All races/ethnicities,Male,114,430.2,"26,502"
Gonorrhea,2023,Alaska,2,35-39,All races/ethnicities,Male,134,453.8,"29,529"
Gonorrhea,2023,Alaska,2,30-34,All races/ethnicities,Male,194,623.8,"31,100"
Gonorrhea,2023,Alaska,2,25-29,All races/ethnicities,Male,178,609,"29,227"
Gonorrhea,2023,Alaska,2,20-24,All races/ethnicities,Male,209,729.8,"28,637"
Gonorrhea,2023,Alaska,2,15-19,All races/ethnicities,Male,61,249.4,"24,462"
Chlamydia,2023,American Samoa,60,65+,All races/ethnicities,Female,0,0,"1,950"
Chlamydia,2023,American Samoa,60,55-64,All races/ethnicities,Female,0,0,"2,492"
Chlamydia,2023,American Samoa,60,45-54,All races/ethnicities,Female,0,0,"2,544"
Chlamydia,2023,American Samoa,60,40-44,All races/ethnicities,Female,7,583.3,"1,200"
Chlamydia,2023,American Samoa,60,35-39,All races/ethnicities,Female,14,1105.8,"1,266"
Chlamydia,2023,American Samoa,60,30-34,All races/ethnicities,Female,51,2894.4,"1,762"
Chlamydia,2023,American Samoa,60,25-29,All races/ethnicities,Female,68,3824.5,"1,778"
Chlamydia,2023,American Samoa,60,20-24,All races/ethnicities,Female,81,4428.6,"1,829"
Chlamydia,2023,American Samoa,60,15-19,All races/ethnicities,Female,46,2280.6,"2,017"
Chlamydia,2023,American Samoa,60,65+,All races/ethnicities,Male,0,0,"1,707"
Chlamydia,2023,American Samoa,60,55-64,All races/ethnicities,Male,0,0,"2,368"
Chlamydia,2023,American Samoa,60,45-54,All races/ethnicities,Male,1,37.8,"2,648"
Chlamydia,2023,American Samoa,60,40-44,All races/ethnicities,Male,4,339.3,"1,179"
Chlamydia,2023,American Samoa,60,35-39,All races/ethnicities,Male,7,599.8,"1,167"
Chlamydia,2023,American Samoa,60,30-34,All races/ethnicities,Male,17,1067.8,"1,592"
Chlamydia,2023,American Samoa,60,25-29,All races/ethnicities,Male,18,1112.5,"1,618"
Chlamydia,2023,American Samoa,60,20-24,All races/ethnicities,Male,22,1198.9,"1,835"
Chlamydia,2023,American Samoa,60,15-19,All races/ethnicities,Male,3,142.5,"2,105"
Gonorrhea,2023,American Samoa,60,65+,All races/ethnicities,Female,0,0,"1,950"
Gonorrhea,2023,American Samoa,60,55-64,All races/ethnicities,Female,0,0,"2,492"
Gonorrhea,2023,American Samoa,60,45-54,All races/ethnicities,Female,0,0,"2,544"
Gonorrhea,2023,American Samoa,60,40-44,All races/ethnicities,Female,0,0,"1,200"
Gonorrhea,2023,American Samoa,60,35-39,All races/ethnicities,Female,6,473.9,"1,266"
Gonorrhea,2023,American Samoa,60,30-34,All races/ethnicities,Female,1,56.8,"1,762"
Gonorrhea,2023,American Samoa,60,25-29,All races/ethnicities,Female,4,225,"1,778"
Gonorrhea,2023,American Samoa,60,20-24,All races/ethnicities,Female,13,710.8,"1,829"
Gonorrhea,2023,American Samoa,60,15-19,All races/ethnicities,Female,7,347.1,"2,017"
Gonorrhea,2023,American Samoa,60,65+,All races/ethnicities,Male,0,0,"1,707"
Gonorrhea,2023,American Samoa,60,55-64,All races/ethnicities,Male,0,0,"2,368"
Gonorrhea,2023,American Samoa,60,45-54,All races/ethnicities,Male,0,0,"2,648"
Gonorrhea,2023,American Samoa,60,40-44,All races/ethnicities,Male,1,84.8,"1,179"
Gonorrhea,2023,American Samoa,60,35-39,All races/ethnicities,Male,0,0,"1,167"
Gonorrhea,2023,American Samoa,60,30-34,All races/ethnicities,Male,0,0,"1,592"
Gonorrhea,2023,American Samoa,60,25-29,All races/ethnicities,Male,1,61.8,"1,618"
Gonorrhea,2023,American Samoa,60,20-24,All races/ethnicities,Male,5,272.5,"1,835"
Gonorrhea,2023,American Samoa,60,15-19,All races/ethnicities,Male,1,47.5,"2,105"
