"Date Printed: Friday, January 14, 2022 2:59:10 PM"
Title: Congenital Syphilis | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | United States | All races/ethnicities | Both sexes | All age groups

NA - Not applicable


Indicator,Year,Cases,Rate per 100000
"Congenital Syphilis","2007","435","10.0"
"Congenital Syphilis","2009","431","10.3"
"Congenital Syphilis","2008","446","10.4"
"Congenital Syphilis","2003","432","10.4"
"Congenital Syphilis","2002","460","11.3"
"Congenital Syphilis","2014","462","11.5"
"Congenital Syphilis","2015","494","12.3"
"Congenital Syphilis","2001","506","12.4"
"Congenital Syphilis","2000","580","14.1"
"Congenital Syphilis","2016","641","16.1"
"Congenital Syphilis","2017","941","24.2"
"Congenital Syphilis","2018","1,323","34.7"
"Congenital Syphilis","2019","1,870","49.6"
"Congenital Syphilis","2005","339","8.1"
"Congenital Syphilis","2012","334","8.4"
"Congenital Syphilis","2006","372","8.6"
"Congenital Syphilis","2011","358","9.0"
"Congenital Syphilis","2004","375","9.0"
"Congenital Syphilis","2013","362","9.1"
"Congenital Syphilis","2010","387","9.6"
