"Date Printed: Friday, January 14, 2022 2:53:39 PM"
Title: Congenital Syphilis | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | All age groups

NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
"Congenital Syphilis","2019","Alabama","01","All age groups","All races/ethnicities","Both sexes","15","25.6","NA"
"Congenital Syphilis","2018","Alabama","01","All age groups","All races/ethnicities","Both sexes","7","12.1","NA"
"Congenital Syphilis","2017","Alabama","01","All age groups","All races/ethnicities","Both sexes","6","10.2","NA"
"Congenital Syphilis","2016","Alabama","01","All age groups","All races/ethnicities","Both sexes","4","6.8","NA"
"Congenital Syphilis","2015","Alabama","01","All age groups","All races/ethnicities","Both sexes","3","5.0","NA"
"Congenital Syphilis","2014","Alabama","01","All age groups","All races/ethnicities","Both sexes","3","5.0","NA"
"Congenital Syphilis","2013","Alabama","01","All age groups","All races/ethnicities","Both sexes","2","3.4","NA"
"Congenital Syphilis","2012","Alabama","01","All age groups","All races/ethnicities","Both sexes","4","6.8","NA"
"Congenital Syphilis","2011","Alabama","01","All age groups","All races/ethnicities","Both sexes","10","16.8","NA"
"Congenital Syphilis","2010","Alabama","01","All age groups","All races/ethnicities","Both sexes","9","15.0","NA"
"Congenital Syphilis","2009","Alabama","01","All age groups","All races/ethnicities","Both sexes","13","20.8","NA"
"Congenital Syphilis","2008","Alabama","01","All age groups","All races/ethnicities","Both sexes","12","18.6","NA"
"Congenital Syphilis","2007","Alabama","01","All age groups","All races/ethnicities","Both sexes","9","13.9","NA"
"Congenital Syphilis","2006","Alabama","01","All age groups","All races/ethnicities","Both sexes","9","14.2","NA"
"Congenital Syphilis","2005","Alabama","01","All age groups","All races/ethnicities","Both sexes","5","8.3","NA"
"Congenital Syphilis","2004","Alabama","01","All age groups","All races/ethnicities","Both sexes","11","18.5","NA"
"Congenital Syphilis","2003","Alabama","01","All age groups","All races/ethnicities","Both sexes","4","6.7","NA"
"Congenital Syphilis","2002","Alabama","01","All age groups","All races/ethnicities","Both sexes","6","10.2","NA"
"Congenital Syphilis","2001","Alabama","01","All age groups","All races/ethnicities","Both sexes","10","16.5","NA"
"Congenital Syphilis","2000","Alabama","01","All age groups","All races/ethnicities","Both sexes","8","12.6","NA"
"Congenital Syphilis","2019","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2018","Alaska","02","All age groups","All races/ethnicities","Both sexes","1","9.9","NA"
"Congenital Syphilis","2017","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2016","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2015","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2014","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2013","Alaska","02","All age groups","All races/ethnicities","Both sexes","1","8.7","NA"
"Congenital Syphilis","2012","Alaska","02","All age groups","All races/ethnicities","Both sexes","1","8.9","NA"
"Congenital Syphilis","2011","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2010","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2009","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2008","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2007","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2006","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2005","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2004","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2003","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2002","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2001","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2000","Alaska","02","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2019","Arizona","04","All age groups","All races/ethnicities","Both sexes","109","137.3","NA"
"Congenital Syphilis","2018","Arizona","04","All age groups","All races/ethnicities","Both sexes","61","75.6","NA"
"Congenital Syphilis","2017","Arizona","04","All age groups","All races/ethnicities","Both sexes","32","39.1","NA"
"Congenital Syphilis","2016","Arizona","04","All age groups","All races/ethnicities","Both sexes","17","20.1","NA"
"Congenital Syphilis","2015","Arizona","04","All age groups","All races/ethnicities","Both sexes","14","16.4","NA"
"Congenital Syphilis","2014","Arizona","04","All age groups","All races/ethnicities","Both sexes","13","15.0","NA"
"Congenital Syphilis","2013","Arizona","04","All age groups","All races/ethnicities","Both sexes","14","16.4","NA"
"Congenital Syphilis","2012","Arizona","04","All age groups","All races/ethnicities","Both sexes","14","16.2","NA"
"Congenital Syphilis","2011","Arizona","04","All age groups","All races/ethnicities","Both sexes","15","17.5","NA"
"Congenital Syphilis","2010","Arizona","04","All age groups","All races/ethnicities","Both sexes","16","18.3","NA"
"Congenital Syphilis","2009","Arizona","04","All age groups","All races/ethnicities","Both sexes","28","30.2","NA"
"Congenital Syphilis","2008","Arizona","04","All age groups","All races/ethnicities","Both sexes","30","30.2","NA"
"Congenital Syphilis","2007","Arizona","04","All age groups","All races/ethnicities","Both sexes","30","29.1","NA"
"Congenital Syphilis","2006","Arizona","04","All age groups","All races/ethnicities","Both sexes","16","15.6","NA"
"Congenital Syphilis","2005","Arizona","04","All age groups","All races/ethnicities","Both sexes","28","29.1","NA"
"Congenital Syphilis","2004","Arizona","04","All age groups","All races/ethnicities","Both sexes","26","27.8","NA"
"Congenital Syphilis","2003","Arizona","04","All age groups","All races/ethnicities","Both sexes","29","31.9","NA"
"Congenital Syphilis","2002","Arizona","04","All age groups","All races/ethnicities","Both sexes","20","22.8","NA"
"Congenital Syphilis","2001","Arizona","04","All age groups","All races/ethnicities","Both sexes","31","36.2","NA"
"Congenital Syphilis","2000","Arizona","04","All age groups","All races/ethnicities","Both sexes","27","31.7","NA"
"Congenital Syphilis","2019","Arkansas","05","All age groups","All races/ethnicities","Both sexes","21","57.4","NA"
"Congenital Syphilis","2018","Arkansas","05","All age groups","All races/ethnicities","Both sexes","25","67.5","NA"
"Congenital Syphilis","2017","Arkansas","05","All age groups","All races/ethnicities","Both sexes","8","21.3","NA"
"Congenital Syphilis","2016","Arkansas","05","All age groups","All races/ethnicities","Both sexes","6","15.7","NA"
"Congenital Syphilis","2015","Arkansas","05","All age groups","All races/ethnicities","Both sexes","5","12.9","NA"
"Congenital Syphilis","2014","Arkansas","05","All age groups","All races/ethnicities","Both sexes","7","18.2","NA"
"Congenital Syphilis","2013","Arkansas","05","All age groups","All races/ethnicities","Both sexes","12","31.7","NA"
"Congenital Syphilis","2012","Arkansas","05","All age groups","All races/ethnicities","Both sexes","11","28.7","NA"
"Congenital Syphilis","2011","Arkansas","05","All age groups","All races/ethnicities","Both sexes","15","38.7","NA"
"Congenital Syphilis","2010","Arkansas","05","All age groups","All races/ethnicities","Both sexes","11","28.5","NA"
"Congenital Syphilis","2009","Arkansas","05","All age groups","All races/ethnicities","Both sexes","10","25.1","NA"
"Congenital Syphilis","2008","Arkansas","05","All age groups","All races/ethnicities","Both sexes","9","22.1","NA"
"Congenital Syphilis","2007","Arkansas","05","All age groups","All races/ethnicities","Both sexes","12","29.0","NA"
"Congenital Syphilis","2006","Arkansas","05","All age groups","All races/ethnicities","Both sexes","10","24.4","NA"
"Congenital Syphilis","2005","Arkansas","05","All age groups","All races/ethnicities","Both sexes","7","17.9","NA"
"Congenital Syphilis","2004","Arkansas","05","All age groups","All races/ethnicities","Both sexes","4","10.4","NA"
"Congenital Syphilis","2003","Arkansas","05","All age groups","All races/ethnicities","Both sexes","2","5.3","NA"
"Congenital Syphilis","2002","Arkansas","05","All age groups","All races/ethnicities","Both sexes","10","26.7","NA"
"Congenital Syphilis","2001","Arkansas","05","All age groups","All races/ethnicities","Both sexes","6","16.2","NA"
