"Date Printed: Tuesday, February 1, 2022 10:37:26 AM"
Title: Chlamydia | Gonorrhea | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | 15-19 | 20-24

NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
"Gonorrhea","2019","Alabama","01","20-24","All races/ethnicities","Female","2,419","1505.3","160,699"
"Gonorrhea","2019","Alabama","01","15-19","All races/ethnicities","Female","1,832","1185.5","154,529"
"Gonorrhea","2018","Alabama","01","20-24","All races/ethnicities","Female","2,098","1297.4","161,709"
"Gonorrhea","2018","Alabama","01","15-19","All races/ethnicities","Female","1,808","1160.3","155,824"
"Gonorrhea","2017","Alabama","01","20-24","All races/ethnicities","Female","1,964","1204.4","163,072"
"Gonorrhea","2017","Alabama","01","15-19","All races/ethnicities","Female","1,744","1112.4","156,782"
"Gonorrhea","2016","Alabama","01","20-24","All races/ethnicities","Female","1,396","839.6","166,262"
"Gonorrhea","2016","Alabama","01","15-19","All races/ethnicities","Female","968","613.4","157,801"
"Gonorrhea","2015","Alabama","01","20-24","All races/ethnicities","Female","1,435","835.4","171,773"
"Gonorrhea","2015","Alabama","01","15-19","All races/ethnicities","Female","1,008","641.6","157,101"
"Gonorrhea","2014","Alabama","01","20-24","All races/ethnicities","Female","1,652","937.9","176,143"
"Gonorrhea","2014","Alabama","01","15-19","All races/ethnicities","Female","1,155","738.1","156,485"
"Gonorrhea","2013","Alabama","01","20-24","All races/ethnicities","Female","1,805","1014.6","177,905"
